model,condition,bodyuse,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=reactive_first|bo=dep_first,D__sr=alt_reactive|do=reactive_first|bo=na,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=dep_first,D__sr=alt_reactive|do=stable_first|bo=na,D__sr=dep_reactive|do=reactive_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=reactive_first|bo=na,D__sr=dep_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=na,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=na,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=na,LD_stateform__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=na,LD_stateform__sr=dep_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=na,logit_control__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_control__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_control__sr=alt_reactive|do=reactive_first|bo=na,logit_control__sr=alt_reactive|do=stable_first|bo=alt_first,logit_control__sr=alt_reactive|do=stable_first|bo=dep_first,logit_control__sr=alt_reactive|do=stable_first|bo=na,logit_control__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_control__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_control__sr=dep_reactive|do=reactive_first|bo=na,logit_control__sr=dep_reactive|do=stable_first|bo=alt_first,logit_control__sr=dep_reactive|do=stable_first|bo=dep_first,logit_control__sr=dep_reactive|do=stable_first|bo=na,logit_target__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_target__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_target__sr=alt_reactive|do=reactive_first|bo=na,logit_target__sr=alt_reactive|do=stable_first|bo=alt_first,logit_target__sr=alt_reactive|do=stable_first|bo=dep_first,logit_target__sr=alt_reactive|do=stable_first|bo=na,logit_target__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_target__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_target__sr=dep_reactive|do=reactive_first|bo=na,logit_target__sr=dep_reactive|do=stable_first|bo=alt_first,logit_target__sr=dep_reactive|do=stable_first|bo=dep_first,logit_target__sr=dep_reactive|do=stable_first|bo=na
llama3.2-1b,useEffect,both,pair_23,-1.359375,0.140625,,-0.953125,1.09375,,1.796875,2.421875,,1.359375,2.234375,,1.359375,-0.140625,,0.953125,-1.09375,,1.796875,2.421875,,1.359375,2.234375,,24.484375,25.578125,,24.921875,25.53125,,24.359375,23.09375,,24.578125,23.375,,25.84375,25.4375,,25.875,24.4375,,26.15625,25.515625,,25.9375,25.609375,
llama3.2-1b,useEffect,both,pair_24,-1.5625,-0.59375,,-1.03125,-0.421875,,1.1875,2.5625,,0.84375,2.34375,,1.5625,0.59375,,1.03125,0.421875,,1.1875,2.5625,,0.84375,2.34375,,24.765625,25.875,,25.296875,25.875,,24.3125,22.65625,,24.140625,22.84375,,26.328125,26.46875,,26.328125,26.296875,,25.5,25.21875,,24.984375,25.1875,
llama3.2-1b,useEffect,both,pair_25,-2.15625,-0.78125,,-1.125,-0.3125,,0.859375,1.6875,,0.828125,1.5625,,2.15625,0.78125,,1.125,0.3125,,0.859375,1.6875,,0.828125,1.5625,,23.390625,25.078125,,24.140625,24.96875,,25.15625,24.3125,,25.0,24.65625,,25.546875,25.859375,,25.265625,25.28125,,26.015625,26.0,,25.828125,26.21875,
llama3.2-1b,useEffect,both,pair_26,-2.015625,-1.25,,-1.015625,-0.6875,,-0.0625,0.6875,,-0.78125,0.515625,,2.015625,1.25,,1.015625,0.6875,,-0.0625,0.6875,,-0.78125,0.515625,,24.171875,25.28125,,25.125,25.703125,,25.640625,24.859375,,26.015625,25.171875,,26.1875,26.53125,,26.140625,26.390625,,25.578125,25.546875,,25.234375,25.6875,
llama3.2-1b,useEffect,both,pair_27,1.0,0.828125,,1.4375,1.484375,,2.6875,2.09375,,2.609375,2.203125,,-1.0,-0.828125,,-1.4375,-1.484375,,2.6875,2.09375,,2.609375,2.203125,,26.1875,26.359375,,26.40625,26.390625,,24.796875,24.53125,,24.734375,24.71875,,25.1875,25.53125,,24.96875,24.90625,,27.484375,26.625,,27.34375,26.921875,
llama3.2-1b,useEffect,both,pair_28,-0.8125,0.390625,,-0.125,1.171875,,0.890625,2.8125,,0.0,2.265625,,0.8125,-0.390625,,0.125,-1.171875,,0.890625,2.8125,,0.0,2.265625,,25.609375,26.90625,,26.328125,27.125,,26.15625,24.5,,26.46875,25.1875,,26.421875,26.515625,,26.453125,25.953125,,27.046875,27.3125,,26.46875,27.453125,
llama3.2-1b,useEffect,both,pair_29,-1.21875,0.546875,,-0.59375,0.921875,,0.625,2.34375,,0.625,1.90625,,1.21875,-0.546875,,0.59375,-0.921875,,0.625,2.34375,,0.625,1.90625,,25.453125,26.796875,,26.109375,26.90625,,26.078125,24.765625,,25.90625,25.296875,,26.671875,26.25,,26.703125,25.984375,,26.703125,27.109375,,26.53125,27.203125,
llama3.2-1b,useEffect,both,pair_30,0.640625,0.53125,,1.0,0.828125,,1.578125,0.796875,,1.109375,0.53125,,-0.640625,-0.53125,,-1.0,-0.828125,,1.578125,0.796875,,1.109375,0.53125,,26.59375,26.90625,,26.75,26.84375,,25.125,25.78125,,25.515625,26.0,,25.953125,26.375,,25.75,26.015625,,26.703125,26.578125,,26.625,26.53125,
llama3.2-1b,useEffect,both,pair_31,-3.03125,-0.625,,-2.03125,0.59375,,0.3125,1.859375,,-0.140625,1.234375,,3.03125,0.625,,2.03125,-0.59375,,0.3125,1.859375,,-0.140625,1.234375,,23.578125,25.390625,,24.421875,25.578125,,25.03125,23.296875,,25.125,24.03125,,26.609375,26.015625,,26.453125,24.984375,,25.34375,25.15625,,24.984375,25.265625,
llama3.2-1b,useEffect,both,pair_32,-0.09375,1.25,,-0.0625,1.734375,,1.65625,2.34375,,1.640625,2.515625,,0.09375,-1.25,,0.0625,-1.734375,,1.65625,2.34375,,1.640625,2.515625,,26.046875,26.84375,,26.078125,26.640625,,24.859375,23.734375,,24.90625,23.96875,,26.140625,25.59375,,26.140625,24.90625,,26.515625,26.078125,,26.546875,26.484375,
llama3.2-1b,useEffect,both,pair_33,-2.640625,-1.078125,,-1.78125,-0.8125,,0.546875,1.46875,,-0.234375,1.203125,,2.640625,1.078125,,1.78125,0.8125,,0.546875,1.46875,,-0.234375,1.203125,,23.53125,25.5,,24.46875,25.8125,,25.828125,24.984375,,26.140625,25.390625,,26.171875,26.578125,,26.25,26.625,,26.375,26.453125,,25.90625,26.59375,
llama3.2-1b,useEffect,both,pair_34,-1.078125,0.578125,,0.296875,0.546875,,1.46875,1.875,,1.265625,1.5625,,1.078125,-0.578125,,-0.296875,-0.546875,,1.46875,1.875,,1.265625,1.5625,,23.921875,25.28125,,25.046875,24.953125,,24.828125,24.015625,,24.875,24.25,,25.0,24.703125,,24.75,24.40625,,26.296875,25.890625,,26.140625,25.8125,
llama3.2-1b,useEffect,both,pair_35,0.171875,-0.015625,,0.75,0.375,,2.4375,2.359375,,2.078125,2.25,,-0.171875,0.015625,,-0.75,-0.375,,2.4375,2.359375,,2.078125,2.25,,24.96875,25.28125,,25.34375,25.15625,,24.203125,23.890625,,24.5625,24.3125,,24.796875,25.296875,,24.59375,24.78125,,26.640625,26.25,,26.640625,26.5625,
llama3.2-1b,useEffect,both,pair_36,-2.421875,-0.40625,,-1.953125,0.25,,0.609375,1.78125,,0.46875,0.765625,,2.421875,0.40625,,1.953125,-0.25,,0.609375,1.78125,,0.46875,0.765625,,24.328125,25.9375,,24.875,25.953125,,25.09375,23.71875,,25.015625,24.578125,,26.75,26.34375,,26.828125,25.703125,,25.703125,25.5,,25.484375,25.34375,
llama3.2-1b,useEffect,both,pair_37,-2.171875,-0.640625,,-0.9375,0.03125,,0.1875,0.765625,,-0.46875,0.5,,2.171875,0.640625,,0.9375,-0.03125,,0.1875,0.765625,,-0.46875,0.5,,24.015625,25.34375,,25.21875,25.671875,,25.6875,24.5,,25.8125,24.765625,,26.1875,25.984375,,26.15625,25.640625,,25.875,25.265625,,25.34375,25.265625,
llama3.2-1b,useEffect,both,pair_38,-0.796875,-0.296875,,-0.40625,-0.09375,,1.71875,1.890625,,1.828125,1.28125,,0.796875,0.296875,,0.40625,0.09375,,1.71875,1.890625,,1.828125,1.28125,,25.46875,26.375,,25.640625,26.203125,,24.71875,24.546875,,24.71875,25.34375,,26.265625,26.671875,,26.046875,26.296875,,26.4375,26.4375,,26.546875,26.625,
llama3.2-1b,useEffect,both,pair_39,-1.328125,-1.28125,,-0.96875,-0.8125,,1.203125,1.65625,,0.890625,2.046875,,1.328125,1.28125,,0.96875,0.8125,,1.203125,1.65625,,0.890625,2.046875,,24.78125,25.828125,,25.296875,25.78125,,24.59375,23.46875,,24.484375,23.09375,,26.109375,27.109375,,26.265625,26.59375,,25.796875,25.125,,25.375,25.140625,
llama3.2-1b,useEffect,both,pair_40,-1.375,0.34375,,-0.3125,0.71875,,1.40625,3.03125,,0.921875,2.625,,1.375,-0.34375,,0.3125,-0.71875,,1.40625,3.03125,,0.921875,2.625,,24.515625,25.703125,,25.40625,25.84375,,24.359375,22.484375,,24.328125,22.9375,,25.890625,25.359375,,25.71875,25.125,,25.765625,25.515625,,25.25,25.5625,
llama3.2-1b,useEffect,both,pair_41,-0.671875,1.078125,,0.171875,1.78125,,0.84375,2.5625,,0.109375,1.953125,,0.671875,-1.078125,,-0.171875,-1.78125,,0.84375,2.5625,,0.109375,1.953125,,24.734375,26.484375,,25.796875,26.78125,,25.71875,24.546875,,25.859375,25.25,,25.40625,25.40625,,25.625,25.0,,26.5625,27.109375,,25.96875,27.203125,
llama3.2-1b,useEffect,both,pair_42,-0.796875,0.6875,,-0.140625,1.15625,,1.90625,1.828125,,1.578125,1.578125,,0.796875,-0.6875,,0.140625,-1.15625,,1.90625,1.828125,,1.578125,1.578125,,24.375,25.484375,,24.921875,25.328125,,24.453125,23.84375,,24.546875,24.15625,,25.171875,24.796875,,25.0625,24.171875,,26.359375,25.671875,,26.125,25.734375,
llama3.2-1b,useEffect,both,pair_43,-0.140625,-0.328125,,-0.21875,-0.28125,,1.703125,1.21875,,1.625,0.6875,,0.140625,0.328125,,0.21875,0.28125,,1.703125,1.21875,,1.625,0.6875,,26.46875,26.5,,26.609375,26.5625,,25.484375,25.421875,,25.5625,26.03125,,26.609375,26.828125,,26.828125,26.84375,,27.1875,26.640625,,27.1875,26.71875,
llama3.2-1b,useEffect,both,pair_44,-2.140625,0.234375,,-1.125,1.21875,,0.234375,1.34375,,-0.25,0.6875,,2.140625,-0.234375,,1.125,-1.21875,,0.234375,1.34375,,-0.25,0.6875,,24.703125,26.671875,,25.875,26.890625,,26.0,24.90625,,26.03125,25.546875,,26.84375,26.4375,,27.0,25.671875,,26.234375,26.25,,25.78125,26.234375,
llama3.2-1b,useEffect,both,pair_45,-0.125,1.4375,,0.578125,1.84375,,1.34375,3.78125,,0.9375,2.828125,,0.125,-1.4375,,-0.578125,-1.84375,,1.34375,3.78125,,0.9375,2.828125,,26.046875,26.875,,26.671875,27.0625,,25.515625,23.34375,,25.625,24.390625,,26.171875,25.4375,,26.09375,25.21875,,26.859375,27.125,,26.5625,27.21875,
llama3.2-1b,useEffect,control_only,pair_01,,,1.953125,,,1.6875,,,-1.0625,,,-0.75,,,-1.953125,,,-1.6875,,,-1.0625,,,-0.75,,,26.234375,,,26.109375,,,25.0625,,,25.28125,,,24.28125,,,24.421875,,,24.0,,,24.53125
llama3.2-1b,useEffect,control_only,pair_02,,,3.921875,,,3.5625,,,-2.0,,,-1.53125,,,-3.921875,,,-3.5625,,,-2.0,,,-1.53125,,,26.484375,,,26.671875,,,25.78125,,,25.796875,,,22.5625,,,23.109375,,,23.78125,,,24.265625
llama3.2-1b,useEffect,control_only,pair_03,,,2.65625,,,2.21875,,,0.296875,,,0.46875,,,-2.65625,,,-2.21875,,,0.296875,,,0.46875,,,26.21875,,,26.078125,,,24.28125,,,24.609375,,,23.5625,,,23.859375,,,24.578125,,,25.078125
llama3.2-1b,useEffect,control_only,pair_04,,,1.515625,,,1.796875,,,-1.140625,,,-0.984375,,,-1.515625,,,-1.796875,,,-1.140625,,,-0.984375,,,25.375,,,25.546875,,,25.078125,,,25.125,,,23.859375,,,23.75,,,23.9375,,,24.140625
llama3.2-1b,useEffect,control_only,pair_05,,,2.234375,,,1.859375,,,-1.59375,,,-1.046875,,,-2.234375,,,-1.859375,,,-1.59375,,,-1.046875,,,26.15625,,,26.515625,,,25.6875,,,25.875,,,23.921875,,,24.65625,,,24.09375,,,24.828125
llama3.2-1b,useEffect,control_only,pair_06,,,1.21875,,,0.953125,,,-1.59375,,,-1.78125,,,-1.21875,,,-0.953125,,,-1.59375,,,-1.78125,,,25.34375,,,25.203125,,,25.546875,,,25.765625,,,24.125,,,24.25,,,23.953125,,,23.984375
llama3.2-1b,useEffect,control_only,pair_07,,,1.15625,,,0.6875,,,-1.671875,,,-1.640625,,,-1.15625,,,-0.6875,,,-1.671875,,,-1.640625,,,25.609375,,,25.390625,,,25.0,,,25.140625,,,24.453125,,,24.703125,,,23.328125,,,23.5
llama3.2-1b,useEffect,control_only,pair_08,,,1.609375,,,1.078125,,,-3.25,,,-3.765625,,,-1.609375,,,-1.078125,,,-3.25,,,-3.765625,,,25.640625,,,25.484375,,,26.140625,,,26.46875,,,24.03125,,,24.40625,,,22.890625,,,22.703125
llama3.2-1b,useEffect,control_only,pair_09,,,1.90625,,,1.390625,,,-2.375,,,-2.46875,,,-1.90625,,,-1.390625,,,-2.375,,,-2.46875,,,26.015625,,,25.78125,,,25.84375,,,25.625,,,24.109375,,,24.390625,,,23.46875,,,23.15625
llama3.2-1b,useEffect,control_only,pair_10,,,0.9375,,,0.96875,,,-2.078125,,,-1.859375,,,-0.9375,,,-0.96875,,,-2.078125,,,-1.859375,,,25.21875,,,25.21875,,,25.15625,,,25.171875,,,24.28125,,,24.25,,,23.078125,,,23.3125
llama3.2-1b,useEffect,control_only,pair_11,,,1.53125,,,1.328125,,,-0.171875,,,0.046875,,,-1.53125,,,-1.328125,,,-0.171875,,,0.046875,,,25.234375,,,25.09375,,,25.140625,,,25.0,,,23.703125,,,23.765625,,,24.96875,,,25.046875
llama3.2-1b,useEffect,control_only,pair_12,,,1.734375,,,1.84375,,,-1.015625,,,-0.59375,,,-1.734375,,,-1.84375,,,-1.015625,,,-0.59375,,,24.765625,,,24.84375,,,24.625,,,24.328125,,,23.03125,,,23.0,,,23.609375,,,23.734375
llama3.2-1b,useEffect,control_only,pair_13,,,1.0625,,,1.828125,,,-2.4375,,,-2.703125,,,-1.0625,,,-1.828125,,,-2.4375,,,-2.703125,,,25.765625,,,26.140625,,,26.140625,,,26.5,,,24.703125,,,24.3125,,,23.703125,,,23.796875
llama3.2-1b,useEffect,control_only,pair_14,,,2.3125,,,1.953125,,,-1.546875,,,-1.3125,,,-2.3125,,,-1.953125,,,-1.546875,,,-1.3125,,,27.09375,,,27.109375,,,26.375,,,26.46875,,,24.78125,,,25.15625,,,24.828125,,,25.15625
llama3.2-1b,useEffect,control_only,pair_15,,,3.1875,,,2.796875,,,-0.046875,,,-0.140625,,,-3.1875,,,-2.796875,,,-0.046875,,,-0.140625,,,26.140625,,,26.0625,,,24.421875,,,24.78125,,,22.953125,,,23.265625,,,24.375,,,24.640625
llama3.2-1b,useEffect,control_only,pair_16,,,1.71875,,,0.765625,,,-0.90625,,,-0.90625,,,-1.71875,,,-0.765625,,,-0.90625,,,-0.90625,,,26.015625,,,25.484375,,,25.296875,,,25.5,,,24.296875,,,24.71875,,,24.390625,,,24.59375
llama3.2-1b,useEffect,control_only,pair_17,,,1.9375,,,2.546875,,,-0.71875,,,-0.34375,,,-1.9375,,,-2.546875,,,-0.71875,,,-0.34375,,,25.671875,,,25.984375,,,25.25,,,25.109375,,,23.734375,,,23.4375,,,24.53125,,,24.765625
llama3.2-1b,useEffect,control_only,pair_18,,,2.765625,,,2.921875,,,-2.21875,,,-2.21875,,,-2.765625,,,-2.921875,,,-2.21875,,,-2.21875,,,26.59375,,,26.609375,,,25.625,,,25.8125,,,23.828125,,,23.6875,,,23.40625,,,23.59375
llama3.2-1b,useEffect,control_only,pair_19,,,2.546875,,,2.34375,,,0.1875,,,-0.171875,,,-2.546875,,,-2.34375,,,0.1875,,,-0.171875,,,25.671875,,,25.53125,,,24.609375,,,24.75,,,23.125,,,23.1875,,,24.796875,,,24.578125
llama3.2-1b,useEffect,control_only,pair_20,,,0.890625,,,0.796875,,,-3.21875,,,-2.96875,,,-0.890625,,,-0.796875,,,-3.21875,,,-2.96875,,,25.0,,,25.234375,,,25.734375,,,25.921875,,,24.109375,,,24.4375,,,22.515625,,,22.953125
llama3.2-1b,useEffect,control_only,pair_21,,,2.375,,,1.8125,,,0.09375,,,-0.15625,,,-2.375,,,-1.8125,,,0.09375,,,-0.15625,,,25.5,,,25.09375,,,24.125,,,24.15625,,,23.125,,,23.28125,,,24.21875,,,24.0
llama3.2-1b,useEffect,control_only,pair_22,,,2.0,,,1.1875,,,-1.71875,,,-1.78125,,,-2.0,,,-1.1875,,,-1.71875,,,-1.78125,,,26.875,,,26.84375,,,26.609375,,,26.796875,,,24.875,,,25.65625,,,24.890625,,,25.015625
llama3.2-1b,useEffect,control_only,pair_23,,,2.046875,,,1.796875,,,-0.921875,,,-1.53125,,,-2.046875,,,-1.796875,,,-0.921875,,,-1.53125,,,25.1875,,,24.984375,,,24.28125,,,24.765625,,,23.140625,,,23.1875,,,23.359375,,,23.234375
llama3.2-1b,useEffect,control_only,pair_24,,,2.359375,,,2.125,,,-1.046875,,,-0.734375,,,-2.359375,,,-2.125,,,-1.046875,,,-0.734375,,,25.4375,,,25.421875,,,24.4375,,,24.109375,,,23.078125,,,23.296875,,,23.390625,,,23.375
llama3.2-1b,useEffect,control_only,pair_25,,,1.53125,,,1.46875,,,-0.8125,,,-0.578125,,,-1.53125,,,-1.46875,,,-0.8125,,,-0.578125,,,25.328125,,,25.1875,,,24.953125,,,24.8125,,,23.796875,,,23.71875,,,24.140625,,,24.234375
llama3.2-1b,useEffect,control_only,pair_26,,,0.875,,,1.4375,,,-2.8125,,,-2.6875,,,-0.875,,,-1.4375,,,-2.8125,,,-2.6875,,,25.046875,,,25.421875,,,25.9375,,,26.1875,,,24.171875,,,23.984375,,,23.125,,,23.5
llama3.2-1b,useEffect,control_only,pair_27,,,2.4375,,,2.5,,,0.078125,,,0.453125,,,-2.4375,,,-2.5,,,0.078125,,,0.453125,,,25.84375,,,26.0,,,24.84375,,,24.796875,,,23.40625,,,23.5,,,24.921875,,,25.25
llama3.2-1b,useEffect,control_only,pair_28,,,2.5,,,2.234375,,,-1.34375,,,-1.0625,,,-2.5,,,-2.234375,,,-1.34375,,,-1.0625,,,27.015625,,,26.984375,,,25.796875,,,25.96875,,,24.515625,,,24.75,,,24.453125,,,24.90625
llama3.2-1b,useEffect,control_only,pair_29,,,3.0625,,,2.09375,,,-1.390625,,,-0.6875,,,-3.0625,,,-2.09375,,,-1.390625,,,-0.6875,,,26.609375,,,26.734375,,,26.1875,,,25.9375,,,23.546875,,,24.640625,,,24.796875,,,25.25
llama3.2-1b,useEffect,control_only,pair_30,,,2.3125,,,2.09375,,,-1.71875,,,-1.6875,,,-2.3125,,,-2.09375,,,-1.71875,,,-1.6875,,,26.65625,,,26.59375,,,25.9375,,,26.125,,,24.34375,,,24.5,,,24.21875,,,24.4375
llama3.2-1b,useEffect,control_only,pair_31,,,1.671875,,,1.65625,,,-1.96875,,,-2.046875,,,-1.671875,,,-1.65625,,,-1.96875,,,-2.046875,,,25.25,,,25.109375,,,24.96875,,,24.90625,,,23.578125,,,23.453125,,,23.0,,,22.859375
llama3.2-1b,useEffect,control_only,pair_32,,,3.09375,,,2.90625,,,0.125,,,0.078125,,,-3.09375,,,-2.90625,,,0.125,,,0.078125,,,26.171875,,,26.109375,,,24.203125,,,24.640625,,,23.078125,,,23.203125,,,24.328125,,,24.71875
llama3.2-1b,useEffect,control_only,pair_33,,,0.96875,,,1.5625,,,-2.03125,,,-2.125,,,-0.96875,,,-1.5625,,,-2.03125,,,-2.125,,,25.484375,,,25.96875,,,26.03125,,,26.265625,,,24.515625,,,24.40625,,,24.0,,,24.140625
llama3.2-1b,useEffect,control_only,pair_34,,,2.71875,,,2.390625,,,-0.484375,,,-0.203125,,,-2.71875,,,-2.390625,,,-0.484375,,,-0.203125,,,25.375,,,25.03125,,,24.390625,,,24.3125,,,22.65625,,,22.640625,,,23.90625,,,24.109375
llama3.2-1b,useEffect,control_only,pair_35,,,1.75,,,1.765625,,,0.046875,,,0.015625,,,-1.75,,,-1.765625,,,0.046875,,,0.015625,,,24.78125,,,24.78125,,,24.328125,,,24.5625,,,23.03125,,,23.015625,,,24.375,,,24.578125
llama3.2-1b,useEffect,control_only,pair_36,,,2.15625,,,1.46875,,,-1.609375,,,-1.40625,,,-2.15625,,,-1.46875,,,-1.609375,,,-1.40625,,,25.78125,,,25.59375,,,24.984375,,,24.875,,,23.625,,,24.125,,,23.375,,,23.46875
llama3.2-1b,useEffect,control_only,pair_37,,,1.5,,,1.34375,,,-2.328125,,,-2.34375,,,-1.5,,,-1.34375,,,-2.328125,,,-2.34375,,,25.140625,,,25.328125,,,25.578125,,,25.546875,,,23.640625,,,23.984375,,,23.25,,,23.203125
llama3.2-1b,useEffect,control_only,pair_38,,,1.84375,,,1.703125,,,-0.796875,,,-0.84375,,,-1.84375,,,-1.703125,,,-0.796875,,,-0.84375,,,26.1875,,,26.1875,,,25.21875,,,25.4375,,,24.34375,,,24.484375,,,24.421875,,,24.59375
llama3.2-1b,useEffect,control_only,pair_39,,,1.4375,,,1.078125,,,-0.84375,,,-0.984375,,,-1.4375,,,-1.078125,,,-0.84375,,,-0.984375,,,25.0625,,,25.078125,,,24.125,,,24.375,,,23.625,,,24.0,,,23.28125,,,23.390625
llama3.2-1b,useEffect,control_only,pair_40,,,2.609375,,,2.859375,,,-0.828125,,,-0.5,,,-2.609375,,,-2.859375,,,-0.828125,,,-0.5,,,25.203125,,,25.34375,,,24.640625,,,24.390625,,,22.59375,,,22.484375,,,23.8125,,,23.890625
llama3.2-1b,useEffect,control_only,pair_41,,,3.109375,,,2.65625,,,-1.0625,,,-1.03125,,,-3.109375,,,-2.65625,,,-1.0625,,,-1.03125,,,26.609375,,,26.71875,,,25.046875,,,25.25,,,23.5,,,24.0625,,,23.984375,,,24.21875
llama3.2-1b,useEffect,control_only,pair_42,,,2.03125,,,1.859375,,,-0.5625,,,-0.625,,,-2.03125,,,-1.859375,,,-0.5625,,,-0.625,,,24.96875,,,24.75,,,24.0625,,,24.046875,,,22.9375,,,22.890625,,,23.5,,,23.421875
llama3.2-1b,useEffect,control_only,pair_43,,,1.265625,,,1.140625,,,-0.765625,,,-0.703125,,,-1.265625,,,-1.140625,,,-0.765625,,,-0.703125,,,26.40625,,,26.46875,,,25.78125,,,25.734375,,,25.140625,,,25.328125,,,25.015625,,,25.03125
llama3.2-1b,useEffect,control_only,pair_44,,,3.046875,,,2.4375,,,-2.359375,,,-2.109375,,,-3.046875,,,-2.4375,,,-2.359375,,,-2.109375,,,26.5,,,26.609375,,,25.984375,,,26.0625,,,23.453125,,,24.171875,,,23.625,,,23.953125
llama3.2-1b,useEffect,control_only,pair_45,,,4.171875,,,3.5625,,,-1.0,,,-0.328125,,,-4.171875,,,-3.5625,,,-1.0,,,-0.328125,,,26.640625,,,26.984375,,,25.875,,,25.78125,,,22.46875,,,23.421875,,,24.875,,,25.453125
llama3.2-1b,useEffect,neither,pair_01,,,0.609375,,,0.140625,,,0.78125,,,1.75,,,-0.609375,,,-0.140625,,,0.78125,,,1.75,,,25.28125,,,24.8125,,,23.84375,,,23.125,,,24.671875,,,24.671875,,,24.625,,,24.875
llama3.2-1b,useEffect,neither,pair_02,,,0.96875,,,0.796875,,,0.8125,,,1.328125,,,-0.96875,,,-0.796875,,,0.8125,,,1.328125,,,24.921875,,,24.46875,,,22.8125,,,22.1875,,,23.953125,,,23.671875,,,23.625,,,23.515625
llama3.2-1b,useEffect,neither,pair_03,,,0.546875,,,0.515625,,,2.65625,,,2.75,,,-0.546875,,,-0.515625,,,2.65625,,,2.75,,,23.765625,,,23.46875,,,21.9375,,,21.890625,,,23.21875,,,22.953125,,,24.59375,,,24.640625
llama3.2-1b,useEffect,neither,pair_04,,,-0.359375,,,0.109375,,,1.859375,,,2.15625,,,0.359375,,,-0.109375,,,1.859375,,,2.15625,,,23.140625,,,23.125,,,22.59375,,,22.296875,,,23.5,,,23.015625,,,24.453125,,,24.453125
